Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;02043 Lezuza;Ambos sexos;Personas;1.326
Total Nacional;02043 Lezuza;Hombres;Personas;685
Total Nacional;02043 Lezuza;Mujeres;Personas;641
Total Nacional;02044 Liétor;Ambos sexos;Personas;1.124
Total Nacional;02044 Liétor;Hombres;Personas;585
Total Nacional;02044 Liétor;Mujeres;Personas;539
Total Nacional;02045 Madrigueras;Ambos sexos;Personas;4.651
Total Nacional;02045 Madrigueras;Hombres;Personas;2.378
Total Nacional;02045 Madrigueras;Mujeres;Personas;2.273
Total Nacional;02046 Mahora;Ambos sexos;Personas;1.389
Total Nacional;02046 Mahora;Hombres;Personas;714
Total Nacional;02046 Mahora;Mujeres;Personas;675
Total Nacional;02047 Masegoso;Ambos sexos;Personas;105
Total Nacional;02047 Masegoso;Hombres;Personas;61
Total Nacional;02047 Masegoso;Mujeres;Personas;44
Total Nacional;02048 Minaya;Ambos sexos;Personas;1.503
Total Nacional;02048 Minaya;Hombres;Personas;778
Total Nacional;02048 Minaya;Mujeres;Personas;725
Total Nacional;02049 Molinicos;Ambos sexos;Personas;843
Total Nacional;02049 Molinicos;Hombres;Personas;439
Total Nacional;02049 Molinicos;Mujeres;Personas;404
Total Nacional;02050 Montalvos;Ambos sexos;Personas;86
Total Nacional;02050 Montalvos;Hombres;Personas;48
Total Nacional;02050 Montalvos;Mujeres;Personas;38
Total Nacional;02051 Montealegre del Castillo;Ambos sexos;Personas;2.038
Total Nacional;02051 Montealegre del Castillo;Hombres;Personas;1.055
Total Nacional;02051 Montealegre del Castillo;Mujeres;Personas;983
Total Nacional;02052 Motilleja;Ambos sexos;Personas;610
Total Nacional;02052 Motilleja;Hombres;Personas;335
Total Nacional;02052 Motilleja;Mujeres;Personas;275
Total Nacional;02053 Munera;Ambos sexos;Personas;3.436
Total Nacional;02053 Munera;Hombres;Personas;1.765
Total Nacional;02053 Munera;Mujeres;Personas;1.671
Total Nacional;02054 Navas de Jorquera;Ambos sexos;Personas;535
Total Nacional;02054 Navas de Jorquera;Hombres;Personas;280
Total Nacional;02054 Navas de Jorquera;Mujeres;Personas;255
Total Nacional;02055 Nerpio;Ambos sexos;Personas;1.199
Total Nacional;02055 Nerpio;Hombres;Personas;659
Total Nacional;02055 Nerpio;Mujeres;Personas;540
Total Nacional;02056 Ontur;Ambos sexos;Personas;1.965
Total Nacional;02056 Ontur;Hombres;Personas;990
Total Nacional;02056 Ontur;Mujeres;Personas;975
Total Nacional;02057 Ossa de Montiel;Ambos sexos;Personas;2.241
Total Nacional;02057 Ossa de Montiel;Hombres;Personas;1.130
Total Nacional;02057 Ossa de Montiel;Mujeres;Personas;1.111
Total Nacional;02058 Paterna del Madera;Ambos sexos;Personas;324
